"Topic-people","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix & friends","London","Hodder Dargaud","1998.","0340727551","006724973"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix & Obelix's birthday :the golden book","London","Orion Books","2009.","9781444000276 (hbk.);1444000276 (hbk.)","015327240"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus 8","","","","9781444008371 (hbk.)","016443989"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus","London","Orion Books","2007.","9780752891545 (hbk.);0752891545 (hbk.);9780752891552 (pbk.)","013795324"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Absolutely Asterix","London","Hodder Children's","1998.","034072756X","006724974"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus","London","Orion Children's","2011.","9781444004236 (pbk.);1444004239 (pbk.)","015781273"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus.","London","Orion Children's Books","2011.","9781444004281 (cased);144400428X (cased)","015874825"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus","London","Orion","2007.","9780752891569;0752891561","013795325"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus 3 :Asterix and the big fight, Asterix in Britain, Asterix and the Normans","London","Orion Children's","2012.","9781444004755 (pbk.);1444004751 (pbk.)","015952043"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus :Asterix the gladiator, Asterix and the banquet, Asterix and Cleopatra","London","Orion Children's","2011.","9781444004243 (pbk.);1444004247 (pbk.)","015794851"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus 9","","","","9781444009675 (hbk.)","016585220"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus 7","","","","9781444008364 (pbk.)","016603611"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus.","London","Orion Children's","2013.","9781444004908 (pbk.)","016191676"
"Goscinny / 1926-1977.","741.5092","René Goscinny :profession, humoriste","Paris ; London","Dargaud","c1997.","2205046705","010147950"
"Goscinny / 1926-1977.","741.50944","Masters of the ninth art :bandes dessinées and Franco-Belgian identity ","Liverpool","Liverpool University Press","2005.","085323938X (hbk.)","013052956"
"Gough, Darren.","741.5972","Dazzler on the dance floor","London","Hodder & Stoughton","2006.","9780340932827 (hbk.);0340932821 (hbk.)","013511642"
"Guevara, Ernesto / 1928-1967 / Comic books, strips, etc.","741.5972.91","Che :a graphic biography","London","Verso","2008.","9781844671687 (pbk.);1844671682 (pbk.)","014236054"
"Guibert, Emmanuel / Translations into English.","741.5944","Sardine in outer space 2","New York ; London","First Second","2006.","9781596431270 (pbk.);159643127X (pbk.)","013517786"
"Gus / 1915-1999.","741.59421","Greetings from Gus :a celebration of the life and work of Gus the cartoonist","[England]","Booksurge Pub.","2005.","1419618490 (spiral)","013424018"
"Hahn, Alex / (Illustrator) / Comic books, strips, etc.","741.5942","Post conatus :the life and times of Alex Hahn","[Cambridge?]","Unrequited Books","2011-","9780956211729 (v. 1 : pbk.)","016113599"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","Beyond the shadows","Canterbury","Cinebook","2008.","9781905460458 (pbk.);1905460457 (pbk.)","014200604"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","The master of the mountains","Canterbury","Cinebook","2010.","9781849180238 (pbk.);1849180237 (pbk.)","015422267"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","H","Ashford","Cinebook","2009, c2008.","9781905460786 (pbk.);1905460783 (pbk.)","014789131"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","The three elders of Aran","Ashford","Cinebook","2007.","9781905460311 (pbk.);1905460317 (pbk.)","013784531"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","The archers","Ashford","Cinebook","2008.","9781905460670 (pbk.);1905460678 (pbk.)","014634140"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","City of the lost god","Canterbury","Cinebook","2009.","9781849180016 (pbk.);1849180016 (pbk.)","015297576"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","The land of Qa","Ashford","Cinebook","2009, c2008.","9781905460809 (pbk.);1905460805 (pbk.)","014837394"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","Wolf cub","Canterbury","Cinebook","2010.","9781849180351 (pbk.);1849180350 (pbk.)","015490252"
"Hamme, Jean van / 1939- / Translations into English.","741.5944","The hour of the tiger","Ashford","Cinebook","2009.","9781905460991 (pbk.);1905460996 (pbk.)","015181983"
"Hamme, Jean van / 1939- / Translations into English.","741.59493","The guardian of the keys","Canterbury","Cinebook","2010.","9781849180504 (pbk.);1849180504 (pbk.)","015557450"
"Hampson, Frank / Criticism and interpretation.","741.5942","The man who drew tomorrow","[Bournemouth]","Who Dares","[1985]","0948487011 (pbk);0948487003 (cased)","008806837"
"Hampson, Frank.","741.5315","Dan Dare, pilot of the future :a biography","London","Orion","2010.","9780752888965 (hbk.);075288896X (hbk.)","015583783"
"Hanna, William / 1910-2001","741.58092","A cast of friends","New York ; [Great Britain]","Da Capo Press","2000, c1996.","0306809176 (pbk.)","009398774"
"Hare, William / 1792?-1870? / Comic books, strips, etc. / Fiction.","741.5","Burke and Hare","Dundee","Insomnia","2009.","9781905808120 (pbk.);1905808127 (pbk.)","015474747"
"Harryhausen, Ray.","741.58092","The dinosaur films of Ray Harryhausen","Jefferson, N.C. ; London","McFarland","2004.","0786416661 (cased)","009064042"
"Haughey, Charles.","741.59417","The long goodbye :a cartoon tribute to a Taoiseach","Dublin","Irish Times Books","1992.","0907011195","007442635"
"Heatley, David / Comic books, strips, etc.","741.5","My brain is hanging upside down","London","Jonathan Cape","2008.","9780224085380 (hbk.);0224085387 (hbk.)","014661851"
"Henry / V / King of England / 1387-1422 / Comic books, strips, etc. / Juvenile fiction.","741.5","Henry V :the graphic novel : original text version","Towcester","Classical Comics","c2007.","9781906332006 (pbk.);1906332002 (pbk.)","013829556"
"Henry / V / King of England / 1387-1422 / Comic books, strips, etc. / Juvenile fiction.","741.5","Henry V :the graphic novel : plain text version","Towcester","Classical Comics","2007.","9781906332013 (pbk.);1906332010 (pbk.)","013829557"
"Henry / V / King of England / 1387-1422 / Comic books, strips, etc. / Juvenile fiction.","741.5","Henry V :the graphic novel : quick text version","Towcester","Classical Comics","2007.","9781906332020 (pbk.);1906332029 (pbk.)","013829558"
"Henry / VIII / King of England / 1491-1547 / Comic books, strips, etc. / Juvenile fiction.","741.5942","Henry VIII","London","SelfMadeHero in association with Historic Royal Palaces","2009.","9781906838027 (pbk.);190683802X (pbk.)","014884083"
"Hergé, / 1907-1983 / Appreciation.","741.50944","Masters of the ninth art :bandes dessinées and Franco-Belgian identity ","Liverpool","Liverpool University Press","2005.","085323938X (hbk.)","013052956"
"Hergé, / 1907-1983 / Characters / Captain Haddock / Juvenile literature.","741.5944","Captain Haddock","London","Egmont","2007.","9781405230605 (cased);1405230606 (cased)","013656043"
"Hergé, / 1907-1983 / Characters / Juvenile literature.","741.5944","Tintin & Co.","London","Egmont","2007.","9781405232647 (hbk.);1405232641 (hbk.)","013761719"
"Hergé, / 1907-1983 / Characters / Madame Castafiore / Juvenile literature.","741.5944","Bianca Castafiore","London","Egmont","2007.","9781405230636 (hbk.);1405230630 (hbk.)","013656046"
"Hergé, / 1907-1983 / Characters / Professor Calculus / Juvenile literature.","741.5944","Professor Calculus","London","Egmont","2007.","9781405230629 (cased);1405230622 (cased)","013656045"
"Hergé, / 1907-1983 / Characters / Snowy / Juvenile literature.","741.5","Snowy","London","Egmont","2007.","9781405230599 (cased);1405230592 (cased)","013656042"
"Hergé, / 1907-1983 / Characters / Thomson Twins / Juvenile literature.","741.5","Thomson and Thompson","London","Egmont","2007.","9781405230612 (cased);1405230614 (cased)","013656044"
"Hergé, / 1907-1983 / Criticism and interpretation / Juvenile literature.","741.5","Tintin","London","Egmont","2007.","9781405230582 (cased);1405230584 (cased)","013656041"
"Hergé, / 1907-1983 / Criticism and interpretation.","741.569493","Tintin :Herg and his creation","London","John Murray","2011.","9781848546721 (pbk.);1848546726 (pbk.)","015842225"
"Hergé, / 1907-1983 / Criticism and interpretation.","741.59493","Tintin and the secret of literature","London","Granta","2006.","9781862078314 (hbk.);1862078319 (hbk.)","013432272"
"Hergé, / 1907-1983 / Criticism and interpretation.","741.59493","Tintin","Harpenden","Pocket Essentials","2002.","190404817X (pbk)","009723708"
"Hergé, / 1907-1983 / Criticism and interpretation.","741.59493","Tintin and the secret of literature","London","Granta","2011.","9781847084224 (pbk.);1847084222 (pbk.)","015782017"
"Hergé, / 1907-1983 / Criticism and interpretation.","741.59493","Tintin and the secret of literature","London","Granta","2007.","9781862079359 (pbk.);1862079358 (pbk.)","013656284"
"Hergé, / 1907-1983 / Criticism and interpretation.","741.59493","The adventures of Tintin at sea","London","John Murray","2004.","0719561191","006904877"
"Hergé, / 1907-1983 / Sources.","741.59493","Tintin :dream and reality","London","John Murray","2001.","0719555221","007045087"
"Hergé, / 1907-1983 / Themes, motives.","741.59493","Tintin and the secret of literature","London","Granta","2006.","9781862078314 (hbk.);1862078319 (hbk.)","013432272"
"Hergé, / 1907-1983 / Themes, motives.","741.59493","Tintin and the secret of literature","London","Granta","2011.","9781847084224 (pbk.);1847084222 (pbk.)","015782017"
"Hergé, / 1907-1983 / Themes, motives.","741.59493","Tintin and the secret of literature","London","Granta","2007.","9781862079359 (pbk.);1862079358 (pbk.)","013656284"
"Hergé, / 1907-1983 / Translations into English.","741.59493","The adventures of Tintin","London","Egmont","2007.","9781405228947 (v. 1);1405228946 (v. 1);9781405228954 (v. 2);1405228954 (v. 2);9781405228961 (v. 3);1405228962 (v. 3);9781405228978 (v. 4);1405228970 (v. 4);9781405228985 (v. 5);1405228989 (v. 5);9781405228992 (v. 6);1405228997 (v. 6);9781405229005 (v. 7);1405229004 (v. 7);9781405229012 (v. 8);1405229012 (v. 8)","013584357"
"Hergé, / 1907-1983 / Translations into English.","741.569493","Fasten your seat belts","London","Egmont","2009.","9781405247429 (pbk.);1405247428 (pbk.)","015261448"
"Hergé, / 1907-1983 / Translations into English.","741.59493","Tintin :America","London","Egmont","2003.","1405207841 (pbk)","006899056"
"Hergé, / 1907-1983 / Translations into English.","741.569493","Under full sail","London","Egmont","2009.","9781405247436 (pbk.);1405247436 (pbk.)","015261449"
"Hergé, / 1907-1983.","741.59493","Hergé :the genius of Tintin : a biography","London","Icon","2011.","9781848312753 (hbk.);184831275X (hbk.)","015830861"
"Hergé, / 1907-1983.","741.59493","Tintin and the world of Hergé ","London","Methuen Children's","1989.","0416148824","012618666"
"Hergé, / 1907-1983.","741.5092","The adventures of Hergé, creator of Tintin ","London","John Murray","2007.","9780719567995 (hbk.);0719567998 (hbk.)","013783949"
"Hergé, / 1907-1983.","741.59493","Tintin :Hergʹe and his creation ","London","Sceptre","1992, c1991.","0340564628 (pbk)","011311401"
"Hergé, / 1907-1983.","741.59493","Hergé :the genius of Tintin : a biography","London","Icon","2012.","9781848313682 (pbk.);1848313683 (pbk.)","016040005"
"Hergé, / 1907-1983.","741.59493","Tintin :a biography","London","Hodder & Stoughton","1991.","034052393X","010693373"
"Hergé, / 1907-1983.","741.59493","The black island.","","Mammoth","1990.","0749704691 (pbk)","010715560"
"Hergé, / 1907-1983.","741.569493","Tintin","Harpenden","Pocket Essentials","2011.","9781842436080 (pbk.);1842436082 (pbk.)","015860794"
"Hergé, / 1907-1983.","741.59493","Hergé and Tintin, reporters :from Le petit vingtieme to Tintin magazine","London","Sundancer","c1987.","0951279904","008822173"
"Hergé, / 1907-1983.","741.5092","Hergé :the man who created Tintin","Oxford","Oxford University Press","2009.","9780195397598 (hbk.);0195397592 (hbk.)","015331430"
"Hergé, / 1907-1983.","741.59493","Herge and the treasures of Tintin","","","","9781847960702 (hbk.)","016468388"
"Hergé, / 1907-1983.","741.50944","Masters of the ninth art :bandes dessinées and Franco-Belgian identity ","Liverpool","Liverpool University Press","2005.","085323938X (hbk.)","013052956"
"Hergé, / 1907-1983.","741.5","Tintin","Harpenden","Pocket Essentials","2007.","9781842432266 (pbk.);1842432265 (pbk.)","013736416"
"Hodgetts, Sheila / 1924-","741.5942","The Toby Twirl adventure books :`a collector's guide`","Burghfield Common","Toby Twirl Ltd","2003.","0954472004 (pbk)","010127544"
"Hoffnung, Gerard.","741.50943","Gerard Hoffnung :his biography","London","Aurum","1994.","1854102885 (pbk)","008419521"
"Hogarth, William / 1697-1764 / Exhibitions.","741.5942","Among the whores and thieves: William Hogarth and The beggar's opera","[New Haven, Conn.? ; Great Britain]","Yale Center for British Art, The Lewis Walpole Library","1997.","0300095481 (pbk.)","010337462"
"Hogarth, William / 1697-1764 / Exhibitions.","741.5942","Hogarth and his times :serious comedy","London","Published for the Trustees of the British Museum by British Museum Press in association with the Parnassus Foundation","c1997.","0714126144 (pbk)","008084161"
"Houdini, Harry / 1874-1926 / Comic books, strips, etc. / Fiction.","741.5","Necronauts","Oxford","Rebellion","2005.","190426509X (pbk.)","013131022"
"Hughes, Adam T.","741.56973","Cover run :the DC Comics art of Adam Hughes","London","Titan","2010.","9781848568501 (hbk.);1848568509 (hbk.)","015584559"
"Humphries, Barry / 1934-","741.5092","Lethal humour :Nick Garland, Barry Humphries and the adventures of Barry McKenzie","London","Menzies Centre for Australian Studies, King's College London","2003.","1855071266 (pbk)","007729538"
"Humphries, Barry / 1934- / Characters / Barry McKenzie.","741.59","The wonderful world of Barry McKenzie","","Macdonald & Co","1968.","0356025020","011577677"
"Husband, Ron / Mental health / Comic books, strips, etc. / Fiction.","741.5","Take care, son :the story of my dad and his dementia","","","","9781472115560 (hbk.)","016644168"
"Husband, Tony / Family / Comic books, strips, etc. / Fiction.","741.5","Take care, son :the story of my dad and his dementia","","","","9781472115560 (hbk.)","016644168"
"Istin, Jean-Luc / Translations into English.","741.5944","Druids.","Aberteifi","Dalen","2009.","9781906587116 (pbk.);1906587116 (pbk.)","015303075"
"Jack / the Ripper / Comic books, strips, etc. / Fiction.","741.5941","From hell :being a melodrama in sixteen parts","Sydney ; London","Bantam","2001, 1999.","1863253122 (pbk.)","008143036"
"Jack / the Ripper / Comic books, strips, etc. / Fiction.","741.5941","From hell :being a melodrama in sixteen parts","London","Knockabout Comics","2000, c1999.","0861661419 (pbk.)","010120014"
"Jak.","741.5942","Jak :his life and work.","London","Solo published for Associated Newspapers","1997.","1873939108 (cased);1873939051 (pbk)","008827249"
"Jeffrey, Edward.","741.5942","The Toby Twirl adventure books :`a collector's guide`","Burghfield Common","Toby Twirl Ltd","2003.","0954472004 (pbk)","010127544"
"Jesus Christ / Comic books, strips, etc.","741.5973","Marked","Edinburgh","Saint Andrew Press","2009, c2005.","9780715208892 (pbk.)","015460819"
"Jesus Christ / Crucifixion / Pictorial works / Fiction.","741.5973","The man of sorrows.","[S.l.]","Gates of Heck","1997.","0963812904 (pbk)","011623110"
"Jesus Christ / Nativity / Humor.","741.5942","Christmas again, already","London","Souvenir","2000.","0285635808 (pbk.)","008737563"
"Jex, Wally.","741.50922","Wrinklies rule OK","Daventry","Powerfresh","2005.","1904967108 (pbk.)","013195604"
"Jigounov, Y. / Translations into English.","741.5944","The list","Canterbury","Cinebook","2010.","9781849180429 (pbk.);1849180423 (pbk.)","015506109"
"Jigounov, Y. / Translations into English.","741.5944","Sanctions","","","","9781849181822 (pbk.)","016521752"
"Joan / of Arc, Saint / 1412-1431 / Comic books, strips, etc. / Juvenile fiction.","741.5","Messenger :the legend of Joan of Arc","","","","9781406336153 (pbk.)","016643617"
"Jones, Chuck / 1912-2002 / Criticism and interpretation.","741.58092","Chuck Jones :a flurry of drawings","Berkeley ; London","University of California Press","c1994.","0520087976","008750611"
"Joyce, James / 1882-1941 / Comic books, strips, etc. / Fiction.","741.5","James Joyce :portrait of a Dubliner","","","","9781847173638 (pbk.)","016270805"
"Joyce, James / 1882-1941. / Illustrations.","741.59417","For your enjoycement : the removal of Paddy Dignam :loosely based on episode six of Ulysses","Dublin","Fingal County Libraries","2004.","9780952665274 (pbk.);0952665271 (pbk.)","013129592"
"Joyce, Lucia / -1982 / Comic books, strips, etc. / Fiction.","741.5","Dotter of her father's eyes","London","Jonathan Cape","[2012]","9780224096089 (hbk.);0224096087 (hbk.)","015955271"
"Kavanagh, Ernest / 1884-1916.","741.59417","Artist of the revolution :the cartoons of Ernest Kavanagh, 1884-1916","Cork","Mercier Press","2012.","9781856359481 (pbk.)","016084327"
"Keaton, Buster / Caricatures and cartoons.","741.5941","Buster.","[London]","Tyger Zahn","c1994.","","007239070"
"Keita, Soundiata / -1255 / Comic books, strips, etc. / Juvenile fiction.","741.5","Sunjata :warrior king of Mali","London","Lerner","2011.","9780761368687 (pbk.);076136868X (pbk.)","015630111"
"Kentridge, William / 1955- / Criticism and interpretation.","741.5968","William Kentridge","London","Phaidon","1999.","0714838292 (pbk)","008087343"
"Khan, Nasser Ali / Comic books, strips, etc. / Fiction.","741.5","Chicken with plums","London","Jonathan Cape","2006.","9780224080453 (hbk.);0224080458 (hbk.)","013511535"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","1903389011","005660892"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","190338902X","005660893"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","1903389038","005660894"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","1903389046","005660895"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","1903389054","005660896"
"King, Doreen / 1952-","741.5942","Almost virtual","London","Pluto Pub.","c2000.","1903389062","005660897"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","1903389011","006749031"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","190338902X","006749032"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","1903389038","006749033"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","1903389046","006749034"
"King, Doreen / 1952-","741.5942","Semiotica the cat","London","Pluto Pub.","c2000.","1903389054","006749035"
"King, Doreen / 1952-","741.5942","Almost virtual","London","Pluto Pub.","c2000.","1903389062","006749036"
"Kominsky-Crumb, Aline / 1948-","741.5973","Need more love","London","MQ","2007.","9781846011337 (hbk.);1846011337 (hbk.)","013584676"
"Lancaster, Osbert / 1908-1986.","741.5941","Cartoons & coronets :the genius of Osbert Lancaster","London","Frances Lincoln","2008.","9780711229334 (hbk.);0711229333 (hbk.);9780711229389 (pbk.);0711229384 (pbk.)","014662227"
"Larry.","741.5092","Larry on Larry","London","Grub Street","c1994.","0948817860 (pbk)","009080074"
"Laxman, R. K.","741.5092","The distorted mirror :stories, travelogues, sketches","New Delhi ; London","Viking","2003.","0670049441","011345695"
"Laxman, R. K. / 1928-","741.5092","The tunnel of time :an autobiography","New Delhi ; London","Penguin","1999, c1998.","0140272488 (pbk.)","011928072"
"Lee, Jim / 1964-","741.5092","Icons :the DC Comics and Wildstorm art of Jim Lee","London","Titan","2010.","9781845765194 (hbk.);1845765192 (hbk.)","015578652"
"Lee, Stan / 1922-","741.5092","Excelsior! :the amazing life of Stan Lee","London","Boxtree","2002.","0752261851","010731913"
"Lee, Stan / 1922-","741.5092","Excelsior! :the amazing life of Stan Lee","London","Boxtree","2003.","0752265326 (pbk)","008388086"
"Lee, Stan / 1922- / Criticism and interpretation.","741.5973","American theology, superhero comics, and cinema :the marvel of Stan Lee and the revolution of a genre","","","","9780415843584 (hbk.)","016294303"
"Leonardo / da Vinci / 1452-1519 / Caricatures and cartoons.","741.5942","I Leonardo","London","Cape","1983.","0224019163","007362471"
"Leonardo / da Vinci / 1452-1519 / Caricatures and cartoons.","828.91407","I Leonardo","London","Cape","1983.","0224019163","007362471"
"Levine, David / 1926-2009.","741.5973","Caricatures and watercolours.","","Ashmolean Museum","1987.","0907849830 (pbk)","007449161"
"Locke, Daniel / Fiction / Comic books, strips, etc.","741.5","311 Ditchling Road","","","","9781907704604 (hbk.)","016565183"
"Macbeth / King of Scotland / active 11th century / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332051 (pbk.)","014658919"
"Macbeth / King of Scotland / active 11th century / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332044 (pbk.)","014658923"
"Macbeth / King of Scotland / active 11th century / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332037 (pbk.)","014658929"
"Macbeth / King of Scotland / active 11th century / Comic books, strips, etc. / Fiction.","741.5","Macbeth","London","Self Made Hero","2008.","9780955285660 (pbk.);0955285666 (pbk.)","014542945"
"Macbeth / King of Scotland / active 11th century / Comic books, strips, etc. / Juvenile fiction.","741.5973","Shakespeare's Macbeth","London","Raintree","2012.","9781406243284 (pbk.);1406243280 (pbk.)","016026640"
"Macbeth / King of Scotland / active 11th century / Comic books, strips, etc. / Juvenile fiction.","741.5","William Shakespeare's Macbeth","Brighton","Book House","2008.","9781905638901 (pbk.);1905638906 (pbk.)","014276803"
"Macbeth / King of Scotland / active 11th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Macbeth","","","","9781783220168 (pbk.)","016429831"
"Macbeth / King of Scotland / active 11th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Macbeth","Brighton","Book House","2008.","9781905638826 (pbk.);1905638825 (pbk.)","014605501"
"Macbeth / King of Scotland / active 11th century / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332051 (pbk.)","014658919"
"Macbeth / King of Scotland / active 11th century / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332044 (pbk.)","014658923"
"Macbeth / King of Scotland / active 11th century / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332037 (pbk.)","014658929"
"Major, John Roy / 1943-","741.5942","101 uses for a John Major","London","Deutsch","1993.","0233988629 (pbk)","007372328"
"Major, John Roy / 1943- / Caricatures and cartoons.","741.5942","101 further uses for a John Major","London","Deutsch","1994.","0233988971 (pbk)","007372353"
"Man in the Iron Mask / Comic books, strips, etc. / Juvenile fiction.","741.5","The man in the iron mask","Brighton","Book House","2007.","9781905638536 (pbk.);1905638531 (pbk.)","013741643"
"Marc / 1931-1988.","741.50942","The collected and recollected Marc","London","Fourth Estate","1993.","1857021649","012699812"
"Marguerite / Queen, consort of Henry IV, King of France / 1553-1615 / Comic books, strips, etc.","741.5","Queen Margot.","Ashford","Cinebook","2008.","9781905460410 (pbk.);1905460414 (pbk.)","014520055"
"Marguerite / Queen, consort of Henry IV, King of France / 1553-1615 / Comic books, strips, etc.","741.5","Queen Margot.","Ashford","Cinebook","2007.","9781905460199 (pbk.);1905460198 (pbk.)","013640336"
"Marguerite / Queen, consort of Henry IV, King of France / 1553-1615. / Comic books, strips, etc.","741.5","Queen Margot.","Ashford","Cinebook,.","2006.","1905460104 (pbk.)","013438339"
"Marston, William Moulton / 1893-1947","741.5973","Wonder Woman :featuring over five decades of great covers","New York ; London","Abbeville Press","c1995.","0789200120 (pbk)","011990574"
"Martin, Don / 1931-2000.","741.5973","MAD's greatest artists :the completely MAD Don Martin.","Philadelphia ; London","Running Press","c2007.","9780762430505 (set);0762430508 (set)","014339943"
"Matt, Joe / 1963- / Comic books, strips, etc. / Fiction.","741.5973","The poor bastard","London","Jonathan Cape","2007.","9780224081955 (pbk.);0224081950 (pbk.)","013745790"
"Mauldin, Bill / 1921-2003.","741.5092","Bill Mauldin :a life up front","London","W. W. Norton","2008.","9780393061833 (hbk.);0393061833 (hbk.)","014199656"
"Maurel, Pierre / Translations into English.","741.5944","Departures","London","Blank Slate","2013.","9781906653279 (pbk.)","015965030"
"Mawil / Comic books, strips, etc.","741.5943","We can still be friends","London","Blank Slate","2008.","9781906653019 (pbk.);1906653011 (pbk.)","014619261"
"Mawil / Comic books, strips, etc. / Fiction.","741.5943","The band","London","Blank Slate","2011.","9781906653156 (pbk.);1906653151 (pbk.)","015781784"
"May, Phil / 1864-1903.","741.5092","Phil May :his life and work 1864-1903","Aldershot","Ashgate","2002.","1840146524","010388087"
"May, Phil / 1864-1903.","741.5092","Phil May :his life and work, 1864-1903","Aldershot","Ashgate","c2002.","1840146524","010760608"
"McKean, Dave.","741.5942","Dustcovers :the collected Sandman covers, 1989-1997","London","Titan Books","1997.","1852868465","012029370"
"Mignola, Michael.","741.5973","The art of Hellboy","Milwaukie, Ore.","Dark Horse Books ","2003.","1840235845;1569719101 (Dark House)","010761818"
"Mignola, Michael.","741.5973","The art of Hellboy","[London","Titan Books] [distributor]","2003.","1840235845;1569719101 (Dark House)","010761818"
"Miller, Frank / 1957-","741.5973","The art of Sin City","London","Titan","2003.","1840233370","012286304"
"Moore, Alan / 1953-","741.509","The From hell companion","London","Knockabout","2013.","9780861661848 (pbk.)","016215107"
"Moore, Alan / 1953-","741.56942","Alan Moore, storyteller","Lewes","Ilex","c2011.","9781907579127;1907579125","015734863"
"Moore, Alan / 1953-","741.5941","Magic words :the extraordinary life of Alan Moore","","","","9781781312841 (pbk.)","016644625"
"Moore, Alan / 1953-","741.5","Watching the watchmen :the definitive companion to the ultimate graphic novel","London","Titan","2010.","9781848566828 (pbk.);1848566824 (pbk.)","015578768"
"Moore, Alan / 1953-","741.5942","A blazing world :the unofficial companion to The league of extraordinary gentlemen volume two","London","Titan","2006.","9781845763176 (pbk.);1845763173 (pbk.)","013432139"
"Moore, Alan / 1953-","741.5092","The pocket essential Alan Moore","Harpenden","Pocket Essentials","2001.","1903047706 (pbk.)","009499445"
"Moore, Alan / 1953-","741.5941","Magic words :the extraordinary life of Alan Moore","","","","9781781310779 (hbk.)","016490119"
"Moore, Alan / 1953-","741.5092","Alan Moore :portrait of an extraordinary gentleman","Leigh-on-Sea","Abiogenesis","2003.","094679006X (pbk.)","008135351"
"Moore, Alan / 1953-","741.5","Watching the watchmen","London","Titan","2008.","9781848560413 (hbk.);1848560419 (hbk.)","014680948"
"Moore, Alan / 1953-","741.5092","Alan Moore","Harpenden","Pocket Essentials","2008.","9781842432846 (pbk.);1842432842 (pbk.)","014697765"
"Moore, Alan / 1953-","741.5942","Heroes & monsters :the unofficial companion to The league of extraordinary gentlemen","London","Titan","2006.","9781845763169 (pbk.);1845763165 (pbk.)","013415600"
"Moore, Alan / 1953- / Criticism and interpretation.","741.5941","Alan Moore and the Gothic tradition","","","","9780719085994 (hbk.)","016328292"
"Moore, Alan / 1953- / Interviews.","741.5942","Heroes & monsters :the unofficial companion to The league of extraordinary gentlemen","London","Titan","2006.","9781845763169 (pbk.);1845763165 (pbk.)","013415600"
"Moore, Alan / 1953- / Interviews.","741.5942","A blazing world :the unofficial companion to The league of extraordinary gentlemen volume two","London","Titan","2006.","9781845763176 (pbk.);1845763173 (pbk.)","013432139"
"Motin, Margaux / Blogs.","741.5944","But I really wanted to be an anthropologist ...","","","","9781906838461 (hardback);1906838461 (hardback)","015998720"
"Motin, Margaux / Comic books, strips, etc.","741.5944","But I really wanted to be an anthropologist ...","","","","9781906838461 (hardback);1906838461 (hardback)","015998720"
"Mulatier, Jean.","741.5092","Hollywood stars","London","Ravette","1993.","185304363X (pbk)","012030721"
"Mythic / 1947- / Translations into English.","741.5944","The list","Canterbury","Cinebook","2010.","9781849180429 (pbk.);1849180423 (pbk.)","015506109"
"Mythic / 1947- / Translations into English.","741.5944","Sanctions","","","","9781849181822 (pbk.)","016521752"
