"Topic-place","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Great Britain / Politics and government / 1979-1997 / Caricatures and cartoons.","741.5942","Gerald Scarfe.","London","Thames and Hudson","c1982.","0500272689 (pbk)","008745855"
"Great Britain / Politics and government / 1979-1997 / Caricatures and cartoons.","741.5942","The Steve Bell album.","London","Methuen","1998.","0413725405 (pbk)","011964499"
"Great Britain / Politics and government / 1979-1997 / Comic books, strips, etc.","741.5942","In the heat of the scribble :the political cartoons of Tim.","London","Bookmarks","1995.","9781898876120 (spiral);1898876126 (spiral)","014581437"
"Great Britain / Politics and government / 1979-1997 / Comic books, strips, etc. / Fiction.","741.5","V for vendetta","London","Titan Books","2005.","1845761820 (hbk.);1401207928 (hbk.);140120841X (pbk.)","013274708"
"Great Britain / Politics and government / 1979-1997 / Comic books, strips, etc. / Fiction.","741.5","Absolute V for vendetta","London","Titan","2009.","9781848563391 (hbk.);1848563396 (hbk.)","015302981"
"Great Britain / Politics and government / 1979-1997 / Comic books, strips, etc. / Fiction.","741.5","V for vendetta","London","Titan","2008.","9781845762278 (pbk.);1845762274 (pbk.)","014602157"
"Great Britain / Politics and government / 1997- / Caricatures and cartoons.","741.5942","Unspeakable if -","London","Methuen","2003.","0413773574 (pbk.)","010978483"
"Great Britain / Politics and government / 1997- / Caricatures and cartoons.","741.56942","Hung, drawn and quartered :the caricatures of Ken Gill","London","Artery Publications","2009.","9780955822827 (pbk.);0955822823 (pbk.)","015266907"
"Great Britain / Politics and government / 1997- / Caricatures and cartoons.","741.5942","Tribal politics","London","Palmano Bennett","1999.","0861661397 (pbk.)","010120013"
"Great Britain / Politics and government / 1997- / Caricatures and cartoons.","741.5942","Unstoppable If_","London","Methuen","2001.","0413759903 (pbk.)","011964613"
"Great Britain / Politics and government / 1997- / Caricatures and cartoons.","741.5942","Chairman Blair's little red book","London","Methuen","2001.","0413760006 (pbk.)","011964614"
"Great Britain / Politics and government / 19th century / Caricatures and cartoons.","741.5942","Showing how the honorable Mr. Teddington Locke MP was not returned for the incorruptible borough of Bubengrub","Nunney","R.S. Surtees Society","1994.","0948560169","008807300"
"Great Britain / Politics and government / 20th century / Caricatures and cartoons.","741.5942","Monsters :how George Bush saved the world - and other tall stories","London","Little, Brown","2008.","9781408700853 (hbk.);1408700859 (hbk.)","014633607"
"Great Britain / Politics and government / 21st century / Caricatures and cartoons.","741.56941","Hard times","London","Robson","2011.","9781849541749 (cased)","015851978"
"Great Britain / Politics and government / 21st century / Caricatures and cartoons.","741.5942","Monsters :how George Bush saved the world - and other tall stories","London","Little, Brown","2008.","9781408700853 (hbk.);1408700859 (hbk.)","014633607"
"Great Britain / Politics and government / Caricatures and cartoons.","741.5942","The big if -","London","Methuen","1995.","0413697703 (pbk)","011964372"
"Great Britain / Rural conditions / Caricatures and cartoons.","741.5941","The countryside cartoon joke book","Ludlow","Merlin Unwin","2008.","9781906122058 (pbk.);1906122059 (pbk.)","014622292"
"Great Britain / Social conditions / 19th century / Comic books, strips, etc. / Fiction.","741.59493","Assassins and gentlemen","Canterbury, Kent","Cinebook Expresso","2008.","9781905460533 (pbk.);1905460538 (pbk.)","014514465"
"Great Britain / Social conditions / 19th century / Comic books, strips, etc. / Fiction.","741.59493","The inconvenience of being dead","Canterbury, Kent","Cinebook","2008.","9781905460649 (pbk.);1905460643 (pbk.)","014634139"
"Great Britain / Social conditions / 19th century / Fiction.","741.59493","The inconvenience of being dead","Canterbury, Kent","Cinebook","2008.","9781905460649 (pbk.);1905460643 (pbk.)","014634139"
"Great Britain / Social conditions / 20th century / Caricatures and cartoons.","741.56941","The best of Punch cartoons :2,000 classic illustrations","","","","9781853759048 (hbk.)","016468453"
"Great Britain / Social conditions / Comic books, strips, etc. / Fiction.","741.5","Hiyama","Dorchester","Tabella","2008.","9780955808821 (pbk.);0955808820 (pbk.)","014674246"
"Great Britain / Social conditions / Comic books, strips, etc. / Fiction.","741.5942","Hiyama","Dorchester","Tabella","2008-","9780955808814 (v. 1 : pbk.);0955808812 (v. 1 : pbk.);9780955808838 (v. 2 : pbk.);0955808839 (v. 2 : pbk.)","014680571"
"Great Britain / Social conditions / Comic books, strips, etc. / Juvenile fiction.","741.5","Black Beauty","Oxford","Raintree","2010.","9781406213485 (pbk.);1406213489 (pbk.)","015448475"
"Great Britain / Social conditions / Comic books, strips, etc. / Juvenile fiction.","741.5","Black Beauty","London","Raintree","2009.","9781406212464;1406212466","014915765"
"Great Britain / Social life and customs / 18th century / Exhibitions.","741.5942","Among the whores and thieves: William Hogarth and The beggar's opera","[New Haven, Conn.? ; Great Britain]","Yale Center for British Art, The Lewis Walpole Library","1997.","0300095481 (pbk.)","010337462"
"Great Britain / Social life and customs / 18th century / Exhibitions.","741.5942","Hogarth and his times :serious comedy","London","Published for the Trustees of the British Museum by British Museum Press in association with the Parnassus Foundation","c1997.","0714126144 (pbk)","008084161"
"Great Britain / Social life and customs / 19th century / Caricatures and cartoons.","741.5942","Victorian virtues and Victorian vices.","[Whitehaven?]","Friends of Whitehaven Museum","1993.","","007240539"
"Great Britain / Social life and customs / 19th century / Caricatures and cartoons.","741.5942","Humorous Victorian spot illustrations","New York","Dover ","1985.","0486248968 (pbk)","008077903"
"Great Britain / Social life and customs / 19th century / Caricatures and cartoons.","741.5942","Humorous Victorian spot illustrations","London","Constable","1985.","0486248968 (pbk)","008077903"
"Great Britain / Social life and customs / 19th century.","741.56941","The world of Vanity fair","London","MX","2009.","9781904312536 (pbk.);1904312535 (pbk.)","015377254"
"Great Britain / Social life and customs / 20th century / Caricatures and cartoons.","741.5942","H.M. Bateman","London","Prion","2002.","1853754587","012038272"
"Great Britain / Social life and customs / 20th century / Caricatures and cartoons.","741.5942","Nicolas Bentley","London","Prion","2002.","1853754595","012038273"
"Great Britain / Social life and customs / 21st century / Comic books, strips, etc. / Fiction.","741.5941","True Brit","London","Titan","2004.","1840239786 (hbk.)","013002505"
"Great Britain / Social life and customs / 21st century / Comic books, strips, etc. / Fiction.","741.5941","True Brit","London","Titan","2006.","1845760123 (pbk.)","013327009"
"Great Britain / Social life and customs / Humor.","741.5942","Scenes you seldom see","London","Private Eye","c2005.","190178441X (pbk.)","013262278"
"Greece / Civilization / To 146 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5","Ancient Greece","London","Dorling Kindersley","2004.","1405303689 (hbk.)","012937700"
"Greece / History / To 146 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5","Ancient Greece","London","Dorling Kindersley","2004.","1405303689 (hbk.)","012937700"
"Gstaad (Switzerland) / Fiction.","741.5941","Fondue and furs","Tetbury","Beverston Press","2011.","9780954993641 (hbk.)","015897526"
"Hartlepool (England) / History / Comic books, strips, etc. / Fiction.","741.5","The Hartlepool monkey","","","","9780861662265 (hbk.)","016316425"
"Hollywood (Los Angeles, Calif.) / Comic books, strips, etc.","741.5","Tozzer 2 :special edition","London","Ablaze","c2005.","0954300815 (pbk.)","013279403"
"Hollywood (Los Angeles, Calif.) / Comic books, strips, etc.","741.5","Tozzer and the invisible lap dancers","[London]","Ablaze","c2002.","0954300807 (pbk.)","010126732"
"Hong Kong (China) / Comic books, strips, etc.","741.5973","Batman: Hong Kong","New York ; [Great Britain]","DC Comics","c2003.","1401200575","010129778"
"Illyria (Kingdom) / Comic books, strips, etc. / Juvenile fiction.","741.5952","Twelfth night","London","Self Made Hero","2009.","9780955816994 (pbk.);0955816998 (pbk.)","015296974"
"India / Comic books, strips, etc. / Fiction.","741.5973","John Constantine, Hellblazer.","London","Titan Books","c2010.","9780857680334 (pbk.);0857680331 (pbk.)","015606081"
"India / Comic books, strips, etc. / Juvenile fiction.","741.5","Disney's The Jungle book 2","London","Egmont Magazines","c2003.","","007694119"
"Intelligence officers / Great Britain / Fiction.","741.59411","Secret agent :chronicles of doom","[Edinburgh]","J. Miller","c2006.","","015102174"
"Ireland / Climate / Caricatures and cartoons.","741.59415","Heavy weather","Dublin","Gill and Macmillan","c1989.","0717116999 (pbk)","008095556"
"Ireland / History / 20th century / Caricatures and cartoons.","741.59417","Martyn Turner's greatest hits.","Dublin","Gill & Macmillan","2003.","071713573X","007044459"
"Ireland / History / Caricatures and cartoons.","741.56","Kilroy is here","[Monkstown]","Micheál Ó Nualláin,","c2009.","9780956367006 (pbk.)","015750765"
"Ireland / History / Easter Rising, 1916 / Comic books, strips, etc.","741.5","Blood upon the rose :Easter 1916, the rebellion that set Ireland free","Dublin","O'Brien","2010.","9781847172174 (pbk.);1847172172 (pbk.)","015551784"
"Ireland / History / To 1172 / Comic books, strips, etc. / Fiction.","741.59417","Brian Boru :Ireland's warrior king","Dublin","O'Brien Press","2011.","9781847172846 (pbk.);1847172849 (pbk.)","015814311"
"Ireland / Kings and rulers / Comic books, strips, etc.","741.59417","Brian Boru :Ireland's warrior king","Dublin","O'Brien Press","2011.","9781847172846 (pbk.);1847172849 (pbk.)","015814311"
"Ireland / Politics and government / 20th century / Caricatures and cartoons.","741.59417","Artist of the revolution :the cartoons of Ernest Kavanagh, 1884-1916","Cork","Mercier Press","2012.","9781856359481 (pbk.)","016084327"
"Ireland / Politics and government / Humor.","741.59417","Martyn Turner's greatest hits.","Dublin","Gill & Macmillan","2003.","071713573X","007044459"
"Isle of Wight (England) / Humor.","741.594228","Wight smiles 3 :I.O.W. cartoons","[Newport, Isle of Wight","Isle of Wight County Press Ltd.],","2007.","9781870947268 (pbk.);1870947266 (pbk.)","014559378"
"Italy / History / 17th century / Comic books, strips, etc. / Fiction.","741.59493","The holy valley","Canterbury","Cinebook","2010.","9781849180290 (pbk.);1849180296 (pbk.)","015443404"
"Italy / History / 17th century / Comic books, strips, etc. / Fiction.","741.5","In the name of the son","","","","9781849181990 (pbk.)","016684600"
"Italy / History / 17th century / Comic books, strips, etc. / Fiction.","741.5","The mask of truth","","","","9781849181761 (pbk.)","016490271"
"Italy / History / 17th century / Comic books, strips, etc. / Fiction.","741.5","The treasure of the Templars","Canterbury","Cinebook","2010.","9781849180467 (pbk.);1849180466 (pbk.)","015523259"
"Italy / History / 17th century / Comic books, strips, etc. / Fiction.","741.59493","In the name of the father","Canterbury","Cinebook","2012.","9781849181228 (pbk.);1849181225 (pbk.)","015979470"
"Italy / History / 17th century / Comic books, strips, etc. / Fiction.","741.59493","The angel's shadow","Canterbury","Cinebook","2013.","9781849181532 (paperback)","016206090"
"Italy / History / Comic books, strips, etc. / Fiction.","741.5","The devil's mark","Canterbury","Cinebook","2008.","9781905460625 (pbk.);1905460627 (pbk.)","014615266"
"Italy / History / Comic books, strips, etc. / Fiction.","741.5944","Assassin's creed.","London","Titan Books","2012.","9781781163429 (hbk.);1781163421 (hbk.)","016143592"
"Italy / History / Comic books, strips, etc. / Fiction.","741.5944","The Scorpion.","Canterbury","Cinebook","2009.","9781905460908 (pbk.);1905460902 (pbk.)","014909853"
"Japan / Fiction.","741.5952","Rurouni Kenshin :Meiji swordsman romantic story","London","Gollancz Manga","2006-2007.","9780575078277 (v. 1 : pbk.);0575078278 (v. 1 : pbk.);057507843X (v. 2 : pbk.);9780575078444 (v. 3 : pbk.);0575078448 (v. 3 : pbk.);9780575078451 (v. 4 : pbk.);0575078456 (v. 4 : pbk.);9780575078468 (v. 5 : pbk.);0575078464 (v. 5 : pbk.);9780575078475 (v. 6 : pbk.);0575078472 (v. 6 : pbk.);0575078480 (v. 7 : pbk.);9780575079984 (v. 8 : pbk.)","013310640"
"Japan / Social life and customs / 20th century.","741.5952","Adult manga :culture and power in contemporary Japanese society","Richmond, Surrey","Curzon","2000.","0700710035 (cased);0700710043 (pbk.)","011979534"
"Korea (North) / Comic books, strips, etc. / Juvenile fiction.","741.5","Black moon","Ashford","Cinebook","2007.","9781905460304 (pbk.);1905460309 (pbk.)","013700044"
"Korea (South) / Social life and customs / Comic books, strips, etc.","741.595195","The color of water","New York","First Second","2009.","9781596434592 (pbk.);1596434597 (pbk.)","015117286"
"Lake District (England) / Comic books, strips, etc. / Fiction.","741.5942","The tale of one bad rat","London","Jonathan Cape","2008.","9780224084703 (hbk.);0224084704 (hbk.)","014606770"
"Latin America / Foreign public opinion, American.","741.5973","Latin America in caricature","Austin ; London","University of Texas Press","c1980.","0292746261","008738391"
"Latin America / Relations / United States / Caricatures and cartoons.","741.5973","Latin America in caricature","Austin ; London","University of Texas Press","c1980.","0292746261","008738391"
"Lebanon / History / Civil War, 1975-1990 / Children / Comic books, strips, etc. / Fiction.","741.5","Bye bye Babylon :Beirut 1975-1979","London","Jonathan Cape","2011.","9780224096195 (pbk.);0224096192 (pbk.)","015855460"
"Liverpool (England) / Caricatures and cartoons.","741.5941","Liverpool :European Capital of Culture, 2008","Prenton","Ian Boumphrey","c2007.","9781899241279 (pbk.);1899241272 (pbk.)","014559577"
"London (England) / Comic books, strips, etc.","741.5942","It's dark in London :a graphic collection of short stories","London","SelfMadeHero","2012.","9781906838447 (pbk.);1906838445 (pbk.)","015956446"
"London (England) / Comic books, strips, etc. / Fiction.","741.5","Shaun of the dead","London","Titan","2010.","9781848566781 (pbk.);1848566786 (pbk.)","015578767"
"London (England) / Comic books, strips, etc. / Fiction.","741.5","Ed and the river of the damned","London","Hodder Children's","2004.","0340866365","012875711"
"London (England) / Comic books, strips, etc. / Fiction.","741.5","Ed and the river of the damned","London","Hodder Children's Books","2005.","0340866373 (pbk.)","013028263"
"London (England) / Comic books, strips, etc. / Fiction.","741.5942","Signal to noise","London","Bloomsbury","2007.","9780747588436 (pbk.);0747588430 (pbk.)","013694374"
"London (England) / Comic books, strips, etc. / Fiction.","741.5","Chas","London","Titan","2009.","9781848561403 (pbk.);1848561407 (pbk.);9781401221270 (DC Comics)","014927189"
"London (England) / Comic books, strips, etc. / Juvenile fiction.","741.5","London deep","London","Mogzilla","2010.","9781906132033 (pbk.);1906132038 (pbk.)","015398105"
"London (England) / History / 17th century / Comic books, strips, etc. / Fiction.","741.5941","Defoe.","Oxford","Rebellion","2009.","9781906735104 (pbk.);1906735107 (pbk.)","015262222"
"London (England) / History / 17th century / Comic books, strips, etc. / Fiction.","741.5941","Defoe.","Oxford","Rebellion","2011.","9781907992476 (pbk.);1907992472 (pbk.)","015856855"
"London (England) / History / 1800-1950 / Comic books, strips, etc. / Fiction.","741.5","The Vesuvius Club","London","Simon & Schuster","2005.","9780743276009 (pbk.);0743276000 (pbk.)","013283393"
"London (England) / History / 1800-1950 / Comic books, strips, etc. / Fiction.","741.595195","The infernal devices","London","Orbit","2012-","9780356502250 (1 : pbk.);0356502252 (1 : pbk.)","016167693"
"London (England) / History / 19th century / Comic books, strips, etc. / Fiction.","741.5941","Stickleback.","Oxford","Rebellion","2008.","9781905437740 (pbk.);1905437749 (pbk.)","014622258"
"London (England) / History / 20th century / Comic books, strips, etc. / Fiction.","741.5942","Eustace","","","","9780224093583 (hbk.)","016214634"
"London (England) / Pictorial works / Humor.","741.5941","Better latté than never ","London","Private Eye","c2001.","1901784231 (pbk.)","009495355"
"London (England) / Social conditions / 19th century / Comic books, strips, etc. / Fiction.","741.5","Sebastian O","[London]","[Titan]","c2004.","9781840239966 (pbk.);1840239964 (pbk.)","012955262"
"London (England) / Social conditions / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Oliver Twist","","","","9781783220144 (pbk.)","016429829"
"London (England) / Social conditions / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5941","Oliver Twist","London","Evans Bros.","2009.","9780237536541 (pbk.);0237536544 (pbk.)","014883347"
"London (England) / Social conditions / Comic books, strips, etc. / Fiction.","741.5","The Vesuvius Club","London","Simon & Schuster","2005.","9780743276009 (pbk.);0743276000 (pbk.)","013283393"
"London (England) / Social life and customs / 19th century / Comic books, strips, etc. / Fiction.","741.5","Soulless :the Manga.","","","","9780356503318 (ePub ebook)","016525907"
"London (England) / Social life and customs / 19th century / Comic books, strips, etc. / Fiction.","741.5","Soulless :the Manga.","","","","9780356503325 (ePub ebook)","016525908"
"London (England) / Social life and customs / Humor.","741.5942","London","London","Daily Express","2007.","9780850793420 (hbk.);0850793424 (hbk.)","014634371"
"London / In art / Exhibitions.","741.59421","The art of satire :London in caricature","London","Philip Wilson","2006.","0856676136 (hbk.);0856676276 (pbk.)","013375917"
"Mali / Kings and rulers / Comic books, strips, etc. / Juvenile fiction.","741.5","Sunjata :warrior king of Mali","London","Lerner","2011.","9780761368687 (pbk.);076136868X (pbk.)","015630111"
"Manhattan (New York, N.Y.) / Comic books, strips, etc. / Fiction.","741.5","100%","London","Titan","2010.","9781845760373 (pbk.);1845760379 (pbk.)","015490104"
"Manhattan (New York, N.Y.) / Comic books, strips, etc. / Fiction.","741.5","100%","London","Titan","2009.","9781848562103 (hbk.);1848562101 (hbk.)","014927200"
"Massachusetts / Pictorial works / Fiction.","741.59","The Borden tragedy :a memoir of the infamous double murder at Fall River, Mass., 1892","New York ; [Great Britain]","NBM","c1997.","1561631892 (pbk.)","010137828"
"Mississippi / Social life and customs / Comic books, strips, etc. / Juvenile fiction.","741.5","The adventures of Huckleberry Finn","Brighton","Book House","2008.","9781906370077 (pbk.);1906370079 (pbk.)","014675260"
"Mississippi River / Comic books, strips, etc. / Juvenile fiction.","741.5973","The adventures of Tom Sawyer","London","Raintree","2011, c2007.","9781406224931 (cased);1406224936 (cased);9781406224993 (pbk.);1406224995 (pbk.)","015674197"
"Montmartre (Paris, France)","741.5944","Poulbot of Montmartre :artist and philanthropist","[England?]","Sterling Press","2006.","9780955359316 (pbk.);0955359317 (pbk.)","013632533"
"Moon / Pictorial works / Juvenile fiction.","741.594105","Lunar Jim annual.","London","Titan Books","","","014913489"
"Moscow (Russia) / Comic books, strips, etc. / Fiction.","741.5","The master and Margarita :a graphic novel","London","Self Made Hero","2008.","9780955816925 (pbk.);0955816920 (pbk.)","014669005"
"Moscow (Russia) / Comic books, strips, etc. / Fiction.","741.5","Mikhail Bulgakov's The Master and Margarita :a graphic novel","London","Self Made Hero","[2008?]","9780955285677 (pbk.);0955285674 (pbk.);9780955285677 (hbk.);0955285674 (hbk.)","014235558"
"Netherlands / History / German occupation, 1940-1945 / Comic books, strips, etc. / Juvenile fiction.","741.5","The search :a graphic novel of courage and resistance brought to you by the Anne Frank House","London","Macmillan Children's","2011.","9780330519762 (pbk.);033051976X (pbk.)","015638677"
"Netherlands / History / German occupation, 1940-1945 / Comic books, strips, etc. / Juvenile fiction.","741.5","A family secret :a graphic novel of courage and resistance brought to you by the Anne Frank House","London","Macmillan Children's","2011.","9780330519823 (pbk.);0330519824 (pbk.)","015638678"
"New Orleans (La.) / Fiction.","741.5941","Of bitter souls.","[Stevenage]","Markosia","","","013456152"
"New York (N.Y.) / Buildings, structures, etc. / Guidebooks.","741.597471","The Marvel Comics guide to New York City","London","Pocket","2007.","9781416531418 (pbk.);1416531416 (pbk.)","013834134"
"New York (N.Y.) / Comic books, strips, etc.","741.5973","New York drawings :a decade of covers, comics, illustrations, and sketches from the pages of the New Yorker and beyond","","","","9780571289059 (hardback);0571289053 (hardback)","016130914"
"New York (N.Y.) / Comic books, strips, etc. / Fiction.","741.5973","The night owls","New York, NY","DC Comics ","c2010.","9781848566422 (Titan Books : pbk.);1848566425 (Titan Books : pbk.);9781401226732 (DC Comics : pbk.)","015495080"
"New York (N.Y.) / Comic books, strips, etc. / Fiction.","741.5973","The night owls","[London]","Titan Books","c2010.","9781848566422 (Titan Books : pbk.);1848566425 (Titan Books : pbk.);9781401226732 (DC Comics : pbk.)","015495080"
"New York (N.Y.) / Comic books, strips, etc. / Fiction.","741.5","Rest","London","Titan","2009.","9781848562806 (pbk.);1848562802 (pbk.)","014894904"
"New York (N.Y.) / Comic books, strips, etc. / Juvenile fiction.","741.5","Bugsy Malone","","","","9780007514847 (pbk.)","016481961"
"New York (N.Y.) / In literature / Guidebooks.","741.597471","The Marvel Comics guide to New York City","London","Pocket","2007.","9781416531418 (pbk.);1416531416 (pbk.)","013834134"
"New York (N.Y.) / Tours.","741.597471","The Marvel Comics guide to New York City","London","Pocket","2007.","9781416531418 (pbk.);1416531416 (pbk.)","013834134"
"Nile River / Comic books, strips, etc. / Fiction.","741.5","Death on the Nile","London","HarperCollins","2007.","9780007250585;0007250584","013650171"
"Northern Ireland / Comic books, strips, etc. / Fiction.","741.59493","The Irish version","","","","9781849181457 (pbk.);1849181454 (pbk.)","016143694"
"Northern Ireland / Comic books, strips, etc. / Fiction.","741.59493","The last round","","","","9781849181518 (paperback)","016182756"
"Northern Ireland / Politics and government / 1969- / Caricatures and cartoons.","741.59416","Cormac strikes back.","London","Information on Ireland","1982.","095073814X (pbk)","008816295"
"Northern Ireland / Politics and government / 1969-1994.","741.59415","Pack up your troubles :25 years of Northern Ireland cartoons","Belfast","Blackstaff Press","1995.","0856405698 (pbk)","009461324"
"Northern Ireland / Politics and government / 1994-.","741.59415","Pack up your troubles :25 years of Northern Ireland cartoons","Belfast","Blackstaff Press","1995.","0856405698 (pbk)","009461324"
"Norway / Description and travel / Comic books, strips, etc.","741.5","Swear Down","London","Blank Slate","2011.","9781906653132 (hbk.);1906653135 (hbk.)","015781783"
"Orkney (Scotland) / Social life and customs / 21st century / Comic books, strips, etc.","741.569411","The giddy limit :fifth anniversary book","Kirkwall","The Orcadian Limited (Kirkwall Press)","c2010.","9781902957425 (pbk.)","015709740"
"Outer space / Comic books, strips, etc.","741.569","Little book of vintage space","Lewes","Ilex","[2012]","9781781570036 (paperback)","016182639"
"Outer space / Comic books, strips, etc. / Juvenile fiction.","741.5","Nanobot rampage","London","Scholastic","2011.","9781407118567 (pbk.);1407118560 (pbk.)","015674227"
"Outer space / Exploration / Comic books, strips, etc. / Juvenile fiction.","741.5","Rocketboard.","London","Scholastic","2010.","9781407118604 (pbk.);1407118609 (pbk.)","015696846"
"Paris (France) / Comic books, strips, etc. / Fiction.","741.5941","Paris :the dark side of glamour in the City of Lights","London","Knockabout","2012.","9780861661732 (hbk.);0861661737 (hbk.)","015889698"
"Paris (France) / Comic books, strips, etc. / Juvenile fiction.","741.5973","Disney's the Hunchback of Notre Dame.","Partridge Green","Ravette","1996.","1853048860 (pbk)","012030841"
"Paris (France) / Description and travel.","741.5942","Paris! Paris!","London","Weidenfeld and Nicolson","1977.","0297772759","008739473"
"Paris (France) / History / Comic books, strips, etc. / Juvenile fiction.","741.5973","Disney, Crotaire Notre Dame.","Loughborough","Ladybird","1996.","1899877126","009489389"
"Paris (France) / Population / Caricatures and cartoons.","741.5944","A human comedy :physiognomy and caricature in 19th century Paris","London","Thames and Hudson","c1982.","0500012687","008744080"
"Paris (France) / Population / Caricatures and cartoons.","842.809353","A human comedy :physiognomy and caricature in 19th century Paris","London","Thames and Hudson","c1982.","0500012687","008744080"
"Paris (France) / Social life and customs / Caricatures and cartoons.","741.5944","A human comedy :physiognomy and caricature in 19th century Paris","London","Thames and Hudson","c1982.","0500012687","008744080"
"Paris (France) / Social life and customs / Caricatures and cartoons.","842.809353","A human comedy :physiognomy and caricature in 19th century Paris","London","Thames and Hudson","c1982.","0500012687","008744080"
"Paris (France) / Social life and customs / Comic books, strips, etc.","741.5944","But I really wanted to be an anthropologist ...","","","","9781906838461 (hardback);1906838461 (hardback)","015998720"
"Paris (France) / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","Monsieur Lambert","London","Phaidon","2006.","9780714846231 (hbk.);0714846236 (hbk.)","013768098"
"Peru / Comic books, strips, etc. / Juvenile fiction.","741.5","The secret of the Incas","Edinburgh","Intes International","1998.","095331782X","009487425"
"Poland / Politics and government / 1980-1989 / Caricatures and cartoons.","741.59438","Andrzej Krauze's Poland","London (28 Lanacre Ave., NW9 5FN)","Nina Karsov","1981.","0907652018 (pbk)","007447592"
"Rijeka (Croatia) / History / Siege, 1919 / Comic books, strips, etc. / Fiction.","741.5","Black paths","London","SelfMadeHero","2011.","9781906838331 (hbk.);190683833X (hbk.)","015768095"
"Rome / Civilization / Comic books, strips, etc. / Juvenile fiction.","741.5","Ancient Rome","London","Dorling Kindersley","2005.","9781405309943;1405309946","013175051"
"Rome / History / Civil War, 43-31 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5973","Shakespeare's Julius Caesar","London","Raintree","2012.","9781406243277 (pbk.);1406243272 (pbk.)","016015306"
"Rome / History / Comic books, strips, etc. / Fiction.","741.5","Julius Caesar","London","Self Made Hero","2008.","9780955285653 (pbk.);0955285658 (pbk.)","014542944"
"Rome / History / Comic books, strips, etc. / Juvenile fiction.","741.5","A Roman rescue","Dorking","Templar","2011.","9781848771918 (pbk.);1848771916 (pbk.)","015685858"
"Rome / History / Empire, 30 B.C.-248 A.D. / Comic books, strips, etc. / Fiction.","741.5","Julius Caesar the graphic novel :original text","Towcester","Classical","2011.","9781906332945 (pbk.);1906332940 (pbk.)","015739424"
"Rome / History / Empire, 30 B.C.-248 A.D. / Comic books, strips, etc. / Fiction.","741.5","Julius Caesar the graphic novel :plain text","Towcester","Classical","2011.","9781906332952 (pbk.);1906332959 (pbk.)","015739425"
"Rome / History / Empire, 30 B.C.-248 A.D. / Comic books, strips, etc. / Fiction.","741.5","Julius Caesar the graphic novel :quick text","Towcester","Classical","2011.","9781906332969 (pbk.);1906332967 (pbk.)","015739426"
"Rome / History / Empire, 30 B.C.-476 A.D. / Comic books, strips, etc. / Fiction.","741.5973","Marada the she-wolf","London","Titan","[2013]","9780857686329 (hbk.)","015986406"
"Rome / History / Empire, 30 B.C.-476 A.D. / Comic books, strips, etc. / Juvenile fiction.","741.5","Ancient Rome","London","Dorling Kindersley","2005.","9781405309943;1405309946","013175051"
"Russia / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2011.","9781907992223 (pbk.);1907992227 (pbk.)","015800079"
"Russia / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2008.","9781905437597 (pbk.);1905437595 (pbk.)","014408139"
"Russia / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2006-2007.","1904265952 (v. 1 : pbk.);9781905437245 (v. 2 : pbk.);1905437242 (v. 2 : pbk.)","013465043"
"Russia / Comic books, strips, etc. / Fiction.","741.5","Amerika","Oxford","Rebellion","2009.","9781906735128 (pbk.);1906735123 (pbk.)","015292523"
"Russia / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2009.","9781905437924 (pbk.);1905437927 (pbk.)","014800604"
"Russia / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2008.","9781905437696 (pbk.);1905437692 (pbk.)","014602416"
"Russia / Politics and government / Comic books, strips, etc. / Fiction.","741.5942","Nikolai Dante :the Romanov dynasty","London","Hamlyn","1998.","0600596397 (pbk)","011333299"
"Saint Petersburg (Russia) / Comic books, strips, etc. / Fiction.","741.5","Fyodor Dostoevsky's Crime & punishment :a graphic novel","London","Self Made Hero","2008.","9780955816949 (pbk.);0955816947 (pbk.)","014680573"
"San Francisco (Calif.) / Comic books, strips, etc. / Fiction.","741.5","Urban decree.","London","Titan","2010.","9781848566316 (pbk.);184856631X (pbk.)","015433810"
"San Francisco (Calif.) / Comic books, strips, etc. / Fiction.","741.5","Fogtown","London","Titan","2010.","9781848567573 (hbk.);184856757X (hbk.)","015584541"
"San Francisco (Calif.) / Comic books, strips, etc. / Fiction.","741.5942","Storming heaven :the Frazer Irving collection","Oxford","Rebellion","2007.","1904265774 (pbk.)","013558044"
"San Francisco (Calif.) / Comic books, strips, etc. / Fiction.","741.5973","Fogtown","New York","DC Comics ","c2010.","9781848568389 (Titan Books : pbk.);184856838X (Titan Books : pbk.)","015860875"
