"Author-Organisations","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"O'Shea Gallery.","At home with the Totterings","London","O'Shea Gallery","c2007.","9780953277230 (hbk.);0953277232 (hbk.)","014552862"
"Ohio State University.","Anything can happen in a comic strip :centennial reflections on an American art form","[Great Britain]","Ohio State University Libraries","1995.","0878058478 (pbk.)","011383465"
"Opal Studios.","Opal Studios comics news magazine.","Leigh-on-Sea","Opal Studios","1983-1983.","","011184160"
"Opal Studios.","Comics news monthly.","Leigh-on-Sea","Opal Studios","1984-","","011186121"
"Parnassus Foundation.","Hogarth and his times :serious comedy","London","Published for the Trustees of the British Museum by British Museum Press in association with the Parnassus Foundation","c1997.","0714126144 (pbk)","008084161"
"Pixar (Firm)","How to draw Disney Pixar Toy story","Laguna Hills, Calif.","Walter Foster ","c2000.","1840231890 (pbk.)","010761622"
"Pixar (Firm)","How to draw Disney Pixar Toy story","[London]","Titan","c2000.","1840231890 (pbk.)","010761622"
"Pixar (Firm)","Disney : Pixar, a bug's life.","Partridge Green","Ravette","1999.","185304993X (pbk)","012030872"
"Plastics and Rubber Institute.","The best of Mulroy :cartoons reproduced from Plastics and Rubber Weekly.","London (11 Hobart Place SW1W 0HL)","The Plastics and Rubber Institute","1981.","0903107317 (pbk)","012674154"
"Political Cartoon Society.","Don't lose it again! :the life and wartime cartoons of Philip Zec","London","Political Cartoon Society","2005.","0954900812","013539073"
"Private Eye.","Son of Yobs","London","Private Eye","c1995.","0552144045 (pbk)","009423580"
"Professional Cartoonists' Organisation.","Foghorn :the magazine of the Professional Cartoonists' Organisation (FECO UK).","Great Britain","Professional Cartoonists' Organisation","","","014700262"
"Protobunker Studio.","Bram Stoker's Dracula","Oxford","Raintree","2010.","9781406213560 (pbk.);140621356X (pbk.)","015448482"
"Protobunker Studio.","Lewis Carroll's Alice in Wonderland","London","Raintree","2010.","9781406214147 (hbk.);1406214140 (hbk.);9781406214185 (pbk.);1406214183 (pbk.)","015448487"
"Pròiseact Nàiseanta nan Ealain Ghàidhlig.","'Smathsin!","Steo?rnabhagh, Leo?dhas","Acair","1992.","0861529758 (unbound)","006739902"
"Pròiseact Nàiseanta nan Ealain Ghàidhlig.","'Smathsin !.","","Acair","[1991]-","","012476733"
"Queen's Gallery (Edinburgh, Scotland)","High spirits :the comic art of Thomas Rowlandson","","","","9781905686766 (pbk.)","016495738"
"Ragdoll Productions.","The Ragdoll annual ..","Handforth (Deanway Technology Centre, Wilmslow Rd., Handforth, Cheshire, SK9 3FB)","Egmont World","[199-?]-","","009912153"
"Ragdoll Productions.","Teletubbies annual ...","Handforth","World International","1997-","","011133844"
"Ramakrishna Math.","Pictorial stories for children.","Madras","Sri Ramakrishna Math ","1991.","8171200958 (pbk);8171202969","009525430"
"Ramakrishna Math.","Pictorial stories for children.","Bourne End","Ramakrishna Vedanta Centre [distributor]","1991.","8171200958 (pbk);8171202969","009525430"
"Ramakrishna Vedanta Centre.","Pictorial stories for children.","Madras","Sri Ramakrishna Math ","1991.","8171200958 (pbk);8171202969","009525430"
"Ramakrishna Vedanta Centre.","Pictorial stories for children.","Bourne End","Ramakrishna Vedanta Centre [distributor]","1991.","8171200958 (pbk);8171202969","009525430"
"Randolph-Macon College.","Anything can happen in a comic strip :centennial reflections on an American art form","[Great Britain]","Ohio State University Libraries","1995.","0878058478 (pbk.)","011383465"
"Redemptorist Publications.","Sage","Chawton","Redemptorist Publications","2007.","9780852311110 (pbk.)","014374664"
"Royal Society for the Prevention of Accidents.","Tufty tales.","Birmingham","RoSPA","1993-","","012487162"
"Ruskin Foundation.","How to be rich, or, What, upon obtaining wealth, the right-thinking person should do with their money in order to sleep soundly at night :being an exploration of some of the ideas of Mr. John Ruskin in his book Unto this last","[Lancaster]","Ruskin Foundation","c2005.","0955093805 (pbk.)","013389919"
"S4C (Firm).","Planed Plant :blwyddlyfr ...","Caerdydd","Hughes a'i Fab","2002-","","007212825"
"Scottish Cartoon Art Studio.","Fizzers :famous Scottish faces caricatured.","Edinburgh","Mercat","2006.","9781841830940 (pbk.);1841830941 (pbk.)","013386896"
"Scottish Sub-Aqua Club.","McLean's silly diving signals and other diving rubbish.","","Scottish Sub-Aqua Club","1990.","0904419029","012680898"
"SEGA Entāpuraizesu.","Sonic the hedgehog beats the Badniks.","London","Ravette","1994.","1853042560 (pbk)","012030679"
"SEGA Entāpuraizesu.","Let battle commence.","","","","9780007352951 (paperback);0007352956 (paperback)","015554255"
"Shetland Times Ltd.","Smeegin wi Smirk :cartoons.","Lerwick","Shetland Times","1993.","0900662921","012021998"
"Silvey-Jex Partnership.","Fart attack","Northampton","Powerfresh","2003.","1902929055 (pbk)","006946710"
"Silvey-Jex Partnership.","Whine & dine","Partridge Green","Ravette","2009.","9781841613260 (cased);1841613266 (cased)","015332999"
"Silvey-Jex Partnership.","Laughter's for afters","Horsham","Ravette Publishing","2009.","9781841613277 (pbk.);1841613274 (pbk.)","015333000"
"Silvey-Jex Partnership.","Gardeners weakly","Horsham","Ravette Pub.","c2010.","9781841613321","015587789"
"Silvey-Jex Partnership.","Illness :a selection of bad taste cartoons from the Silvey-Jex Partnership.","[London]","[Silvey-Jex Partnership]","c1980.","0907280005 (unbound)","007444725"
"Silvey-Jex Partnership.","Toilet humour :a selection of bad taste cartoons from the Silvey-Jex Partnership.","[London]","[Silvey-Jex Partnership]","c1980.","0907280013 (unbound)","007444726"
"Silvey-Jex Partnership.","Geriatrics :a selection of bad taste cartoons from the Silvey-Jex Partnership.","[London]","[Silvey-Jex Partnership]","c1980.","0907280021 (unbound)","007444727"
"Silvey-Jex Partnership.","Wildlife :a selection of bad taste cartoons from the Silvey-Jex Partnership.","[London] ([7 Soho St., Soho Sq. W1V 3QU])","Silvey-Jex Partnership","c1981.","0907280048 (pbk)","007444729"
"Silvey-Jex Partnership.","Flashers :a selection of bad taste cartoons from the Silvey-Jex Partnership.","[London] ([7 Soho St., Soho Sq. W1V 3QU])","Silvey-Jex Partnership","c1981.","0907280056 (pbk)","007444730"
"Silvey-Jex Partnership.","Snowmen :a selection of bad taste cartoons from the Silvey-Jex Partnership.","[London] ([7 Soho St., Soho Sq. W1V 3QU])","Silvey-Jex Partnership","c1981.","0907280064 (pbk)","007444731"
"Silvey-Jex Partnership.","Toilet humour number 2's :a second selection of bad taste cartoons from the Silvey-Jex Partnership.","[London] ([7 Soho St., Soho Sq. W1V 3QU])","Silvey-Jex Partnership","c1981.","0907280072 (pbk)","007444732"
"Silvey-Jex Partnership.","Christmas :a selection of bad taste cartoons from the Silvey-Jex Partnership.","[London] ([7 Soho St., Soho Sq. W1V 3QU])","Silvey-Jex Partnership","c1981.","0907280080 (pbk)","007444733"
"Silvey-Jex Partnership.","Bad taste birthday book.","","Silvey-Jex","c1987.","0907280285 (pbk)","007444739"
"Silvey-Jex Partnership.","The Boo bees","London","Silvey-Jex Publications","c1990.","0907280293 (pbk)","007444740"
"Silvey-Jex Partnership.","Piggery jokery","Northampton","Powerfresh","1998.","1874125775 (pbk.)","008828381"
"Silvey-Jex Partnership.","Sheep & nasty","Northampton","Powerfresh","1999.","187412583X (pbk.)","008828384"
"Silvey-Jex Partnership.","A baby book","Northampton","Powerfresh","1999.","187412597X (pbk.)","008828390"
"Silvey-Jex Partnership.","Outdoor wreckreations","Skipton","Dalesman","1996.","1855681048 (pbk)","012692275"
"Silvey-Jex Partnership.","Rural Britannia","Skipton","Dalesman","1998.","185568151X (pbk)","012692307"
"Silvey-Jex Partnership.","Sheep at half the price","Skipton","Dalesman","2004.","9781855682146 (pbk.);1855682141 (pbk.)","013096998"
"Silvey-Jex Partnership.","Wrinklies rule OK","Daventry","Powerfresh","2005.","1904967108 (pbk.)","013195604"
"Silvey-Jex Partnership.","More greyhaired giggles from Silvey-Jex.","Horsham","Ravette Pub.","2010.","9781841613338 (hbk.)","015602797"
"Sir Robert Menzies Centre for Australian Studies.","Lethal humour :Nick Garland, Barry Humphries and the adventures of Barry McKenzie","London","Menzies Centre for Australian Studies, King's College London","2003.","1855071266 (pbk)","007729538"
"Smithsonian American Art Museum/National Portrait Gallery Library","Celebrity caricature in America","New Haven ; London","National Portrait Gallery, Smithsonian Institution in association with Yale University Press","c1998.","0300074638","009392726"
"Society for Strip Illustration.","Newsletter","London (80 Silverdale, S.E.26)","[The Society]","1978-","","010539704"
"Society for Strip Illustration.","Comics forum.","London (7 Dilke St. SW3 4JE)","Society for Strip Illustration","1992-","","012481534"
"Society of Motor Manufacturers and Traders.","Motor show book of humour","Old Woking (Unwin Brothers Ltd, The Gresham Press, Old Woking, Surrey GU22 9LH)","Gresham Books [for] the Society of Motor Manufacturers and Traders","1978.","0905418247 (sd)","012688043"
"Sony Pictures Animation (Firm)","Surf's up annual.","Exeter","Pedigree Books","","","014919834"
"Southern Housing Foundation.","The Timber Wharves gang :a graphic novel featuring a series of short comics, stories and illustratios created by over 40 talented young people at Timber Wharves","","","","9781901155280 (paperback)","013821833"
"Southern Housing Foundation.","Vanston Place :the secret adventures","","","","9781901155235 (paperback)","013821841"
"Spectator.","The Spectator cartoon book 2001","London","Profile","2001.","1861973853 (pbk)","006961396"
"Spectator.","The Spectator cartoon book 2000","London","Profile","2000.","1861972482 (pbk)","008404072"
"Spectator.","The Spectator cartoon book 2002","London","Profile","2002.","1861974930 (pbk)","008404127"
"St Tiggiwinkles.","Tiggy and friends.","Audenshaw","Iguana Publications","1993-","","012488541"
"Steampunk Oriental Laboratory","Steampunk style :the complete illustrated guide for contraptors, gizmologists and primocogglers everywhere!","","","","9781781168479 (pbk.)","016473271"
"Stellar Labs","Tomorrowland","","","","9781782760207 (hbk.)","016516277"
"Stereoblind (Firm)","Love stuffing","[Cambridge]","Sweatdrop Studios","c2009-","9781905038251 (pbk.);1905038259 (pbk.)","015360230"
"Stripburger Magazine.","XXX (strip) burger","Hove","Slab-O-Concrete","1999.","1899866302 (pbk)","009074361"
"Sweatdrop Studios.","Draw manga","London","New Holland","2006.","9781845374167 (pbk.);1845374169 (pbk.)","013542399"
"Sweatdrop Studios.","Creating manga characters","Ramsbury","Crowood","2012.","9781847973818 (pbk.);1847973817 (pbk.)","016058283"
"Tate Britain (Gallery)","James Gillray :the art of caricature","London","Tate Publishing","2001.","1854373641","012044616"
"Three Duck Editions.","Walt Disney's Donald Duck :50 years of happy frustration","London","Ebury","c1985.","0852234481 (pbk)","008792650"
"Three Duck Editions.","Walt Disney's Goofy :the good sport","London","Ebury","1985.","0852234589 (pbk)","008792653"
"Times Newspapers.","The best of the Queen's Counsel","London","Times","1999.","0723010714","008781601"
"Top Cow Productions.","Witchblade featuring Tomb Raider :covenant.","London","Titan","1999.","1840230843 (pbk)","010761574"
"Top Cow Productions.","Lost horizons","London","Titan Books","2001.","1840233761 (pbk.)","010761697"
"Top Cow Productions.","Pieces of zero","London","Titan in association with Top Cow","2003.","1840234024 (pbk.)","010761715"
"UDON (Firm)","Avril Lavigne's Make 5 wishes","London","Titan","2007.","9781845766832 (v. 1 : pbk.);1845766830 (v. 1 : pbk.);9781845766849 (v. 2 : pbk.);1845766849 (v. 2 : pbk.)","013784322"
"UK Band of Hope Union.","Hotshot and the shape shifter","[London] ([45 Great Peter St., SW1P 3LT])","Hope Press Publications [for the UK Band of Hope Union]","1979.","","010545424"
"UK Band of Hope Union.","Captain Zeno and the space pirates","[London] ([45 Great Peter St., SW1P 3LT])","Hope Press Publications [for the UK Band of Hope Union]","1979.","","010545425"
"University of Central England in Birmingham.","Research :a collection of cartoon drawings","Birmingham","Faculty of the Built Environment, University of Central England","c1994.","1869954351 (pbk)","008144741"
"University of Guam.","The trendy ape.","","Hodder & Stoughton","1968.","0340042702","011576639"
"University of Kent at Canterbury.","Getting them in line :an exhibition ... to mark the inauguration of the Centre for the Study of Cartoons and Caricature.","Canterbury","Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury","1975.","","009920708"
"University of Kent at Canterbury.","Beaverbrook's England 1940-1965 :an exhibition of cartoon originals by Michael Cummings, David Low, Vicky and Sidney 'George' Strube","[Canterbury] ([Canterbury, Kent CT2 7NZ])","[Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury]","[c1981]","","010553842"
"University of Kent at Canterbury.","Frontiers :an exhibition of original cartoon drawings = Frontières : une exposition de dessins humoristiques originaux ","Canterbury","Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury with the support of the International Press Foundation","1992.","0904938336 (pbk)","012684388"
"University of Leeds.","Concentrationary memoriespolitics of representation, 1945-1985 : international conference 23-25 March 2009, University of Leeds.","Leeds","CentreCATH","2009.","9780955334856;0955334853","015284282"
"Victoria and Albert Museum.","William Rushton's great moments of history.","Bideford","Herridge in association with the Victoria and Albert Museum","1985, c1984.","094656910X (pbk)","008133527"
"Victoria and Albert Museum.","English caricature :1620 to the present : caricaturists and satirists, their art, their purpose and influence.","London","Victoria and Albert Museum","1984.","0905209958 (pbk)","012686628"
"Viz magazine.","The pearl necklace :Viz annual 2007","London","Dennis","2007.","9780954857776 (hbk.);0954857771 (hbk.)","013789765"
"Walker Art Gallery.","Bill Tidy :drawings 1957-1986","Liverpool","Walker Art Gallery","[1986]","0901534250 (pbk)","012026320"
"Walt Disney Company.","How to draw Disney Pixar Toy story","Laguna Hills, Calif.","Walter Foster ","c2000.","1840231890 (pbk.)","010761622"
"Walt Disney Company.","How to draw Disney Pixar Toy story","[London]","Titan","c2000.","1840231890 (pbk.)","010761622"
"Walt Disney Company.","Tarzan.","Partridge Green","Ravette","1999.","1853049891","007726061"
"Walt Disney Company.","Disney's The Hunchback of Notre Dame :an animated flip book.","Leicester","Hyperion","1997.","0786881607","009064333"
"Walt Disney Company.","Disney, Crotaire Notre Dame.","Loughborough","Ladybird","1996.","1899877126","009489389"
"Walt Disney Company.","Treasure planet :comic adventure.","London","BBC Worldwide","[2003?]","","009919975"
"Walt Disney Company.","Lilo & Stitch comic adventure.","London","BBC Worldwide","[2003?]","","009920142"
"Walt Disney Company.","Disney's how to draw Aladdin","London","Titan","1999.","1840230428 (pbk.)","010761555"
"Walt Disney Company.","A bug's life.","Partridge Green","Ravette","1999.","1841610003 (pbk)","010768341"
"Walt Disney Company.","Walt Disney's Pinocchio.","Horsham","Ravette","c1995.","1853048275 (pbk)","012030819"
"Walt Disney Company.","Walt Disney's 101 dalmatians.","Horsham","Ravette","c1995.","1853048283 (pbk)","012030820"
"Walt Disney Company.","Disney's Pocahontas.","Partridge Green","Ravette","1995.","1853048399 (pbk)","012030825"
"Walt Disney Company.","Disney's Hercules.","Partridge Green","Ravette","1997.","1853049158","012030848"
"Walt Disney Company.","Walt Disney's Peter Pan.","Partridge Green","Ravette","1998.","1853049573 (pbk)","012030862"
"Walt Disney Company.","Disney's Mulan.","Partridge Green","Ravette","c1998.","1853049654 (pbk.)","012030865"
"Walt Disney Company.","The many adventures of Winnie the Pooh.","Partridge Green","Ravette","1998.","1853049786","012030869"
"Walt Disney Company.","Disney : Pixar, a bug's life.","Partridge Green","Ravette","1999.","185304993X (pbk)","012030872"
"Walt Disney Company.","Walt Disney's The Aristocats","London","Fleetway Editions","c1994.","1853863270 (pbk)","012039456"
"Walt Disney Company.","Toy story.","Patridge Green","Ravette","1996.","1853048976 (pbk.)","013217925"
"Walt Disney Productions.","The fox and the hound","Cheshire (Regent House, Heaton La., Stockport, Cheshire, SK4 1DG)","London Editions Magazines","c1981.","","011000656"
"Walt Disney Productions.","The black hole","","","","","011633455"
"We Are Words + Pictures.","Paper science.","[S.l.]","We Are Words + Pictures","2009-","","015742018"
"Welsh Joint Education Committee.","Bachgen y ceffylau","Caerdydd","Qualitex","1994.","1873649444 (pbk : pbk)","007236338"
"Whitehaven Museum.","Thalia - the neglected muse","[Whitehaven]","Friends of Whitehaven Museum","1990.","","007240523"
"Whitehaven Museum.","Victorian virtues and Victorian vices.","[Whitehaven?]","Friends of Whitehaven Museum","1993.","","007240539"
"Whitworth Art Gallery.","Richard Newton and English caricature in the 1790s","Manchester","Whitworth Art Gallery in association with Manchester University Press","c1998.","0719054796 (cased);071905480X (pbk)","008765486"
"WildStorm FX (Firm)","Thunderbolt Jaxon.","[London]","[Titan]","c2007.","9781845764913 (Titan : pbk.);1845764919 (Titan : pbk.);9781401212575 (DC Comics : pbk.);1401212573 (DC Comics : pbk.)","013678599"
"Wildstorm FX.","All over the world and other stories","London","Titan","2001.","184023301X (pbk)","006918048"
"WildStorm Productions.","Our worlds at war.","New York","DC Comics ","c2002.","1563899167 (pbk.)","010138610"
"WildStorm Productions.","Our worlds at war.","[London","Titan] [distributor]","c2002.","1563899167 (pbk.)","010138610"
"William Heath Robinson Trust.","Heath Robinson at West House, Pinner","[London?]","William Heath Robinson Trust","2010.","9780956559609 (pbk.);0956559603 (pbk.)","015614486"
"Women Against Pit Closures.","Deep digs! :cartoons of the miners' strike","London","Pluto","1985.","074530088X","009445587"
"World of Water.","Eddy Champion.","Birmingham (6, 4th Ave., Birmingham, B29 7EU)","Little People Books on behalf of World of Water","1995-","","007244144"
"World Wildlife Fund.","It's our world too","Glasgow","Collins [for the] World Wildlife Fund","1978.","0004103297;0004103300","009369437"
"World Wrestling Federation.","Brutality crew","London","Titan","2000.","1840232439 (pbk.)","010761640"
"World Wrestling Federation.","Tougher than the rest","London","Titan","2000.","1840232447 (pbk.)","010761641"
"World Wrestling Federation.","WWF World Wrestling Federation presents The Rock featuring Chyna, Mankind","London","Titan","2001.","1840233214 (pbk.)","012286296"
"Xian Nu Studio.","Wicked lovely :desert tales","London","HarperCollins Children's","2010-2012.","9780007354979 (v. 1 : pbk.);0007354975 (v. 1 : pbk.);9780007354986 (v. 2 : pbk.);0007354983 (v. 2 : pbk.);9780007354993 (v. 3 : pbk.);0007354991 (v. 3 : pbk.)","015534753"
"Yale Center for British Art.","Among the whores and thieves: William Hogarth and The beggar's opera","[New Haven, Conn.? ; Great Britain]","Yale Center for British Art, The Lewis Walpole Library","1997.","0300095481 (pbk.)","010337462"
"Yale Center for British Art.","English caricature :1620 to the present : caricaturists and satirists, their art, their purpose and influence.","London","Victoria and Albert Museum","1984.","0905209958 (pbk)","012686628"
"Yishan Studio (Firm)","The complete shoujo art kit","Lewes","Ilex","2009.","9781905814558 (hbk.);1905814550 (hbk.)","015109851"
"Yishan Studio (Firm)","The complete Shonen art kit","Lewes, east Sussex","Ilex","2010.","9781905814718 (hbk.);1905814712 (hbk.)","015453778"
"Yishan Studio (Firm)","500 manga villains and heroes","Lewes","Ilex","2010.","9781905814947 (pbk.);1905814941 (pbk.)","015579222"
"Yishan Studio (Firm)","One million manga characters :over one million characters to create and colour!","Lewes","Ilex","2010.","9781905814930 (cased);1905814933 (cased)","015595568"
"Yorkshire Air Museum.","Laf with the RAF :cartoons","[York?]","Yorkshire Air Museum","[1994?]","0951237934 (pbk)","008821684"
"YoYo (Group)","Vermonia","London","Walker","2009-","9781406321456 (v. 1 : pbk.);1406321451 (v. 1 : pbk.);9781406321463 (v. 2 : pbk.);140632146X (v. 2 : pbk.);9781406321791 (v. 3 : pbk.);1406321796 (v. 3 : pbk.);9781406322637 (v. 4 : pbk.);1406322636 (v. 4 : pbk.);9781406322644 (v. 5 : pbk.);1406322644 (v. 5 : pbk.);9781406322651 (v. 6 : pbk.);1406322652 (v. 6 : pbk.)","015261526"
"YoYo (Group)","Call of the winged panther","London","Walker","2012.","9781406337426 (pbk.);1406337420 (pbk.)","015951913"
"YoYo (Group)","Quest for the silver tiger","London","Walker","2012.","9781406337518 (pbk.);140633751X (pbk.)","015951914"
"YoYo (Group)","Release of the red phoenix","London","Walker","2012.","9781406337525 (pbk.);1406337528 (pbk.)","015951915"
"YoYo (Group)","The Rukan prophecy","London","Walker","2012.","9781406338201 (pbk.);1406338206 (pbk.)","015951918"
